Crop,QueryType,StateName
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Citrus,Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Maize (Makka),Weed Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Groundnut (pea nut/mung phalli),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Cucumber,	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Cotton (Kapas),	Plant Protection	,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Crop Insurance,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Chillies,Nutrient Management,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),Seeds,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Cotton (Kapas),	Plant Protection	,ANDHRA PRADESH
Cotton (Kapas),Weed Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),Weed Management,ANDHRA PRADESH
Sesame (Gingelly/Til)/Sesamum,Varieties,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Ridge Gourd,Vegetative Propagation and Tissue Culture,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Green Gram (Moong Bean/ Moong),Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),Nutrient Management,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Sorghum (Jowar/Great Millet),Nutrient Management,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Watermelon,	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Others,Soil Testing,ANDHRA PRADESH
Jasmine,Cultural Practices,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Tomato,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Mango,	Plant Protection	,ANDHRA PRADESH
Groundnut (pea nut/mung phalli),	Plant Protection	,ANDHRA PRADESH
Mango,Nutrient Management,ANDHRA PRADESH
Mango,Nutrient Management,ANDHRA PRADESH
Mango,Nutrient Management,ANDHRA PRADESH
Mango,Nutrient Management,ANDHRA PRADESH
Banana,	Plant Protection	,ANDHRA PRADESH
Citrus,	Plant Protection	,ANDHRA PRADESH
Melon,Fertilizer Use and Availability,ANDHRA PRADESH
Banana,	Plant Protection	,ANDHRA PRADESH
Black Gram (urd bean),	Plant Protection	,ANDHRA PRADESH
Acid Lime,	Plant Protection	,ANDHRA PRADESH
Groundnut (pea nut/mung phalli),Nutrient Management,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Black Gram (urd bean),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Groundnut (pea nut/mung phalli),	Plant Protection	,ANDHRA PRADESH
Groundnut (pea nut/mung phalli),	Plant Protection	,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),Nutrient Management,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Others,Weed Management,ANDHRA PRADESH
Paddy (Dhan),Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Watermelon,	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Citrus,	Plant Protection	,ANDHRA PRADESH
Maize (Makka),Seeds,ANDHRA PRADESH
Others,Soil Testing,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Watermelon,	Plant Protection	,ANDHRA PRADESH
Mosambi,	Plant Protection	,ANDHRA PRADESH
Mosambi,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Black Gram (urd bean),	Plant Protection	,ANDHRA PRADESH
Groundnut (pea nut/mung phalli),	Plant Protection	,ANDHRA PRADESH
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),	Plant Protection	,ANDHRA PRADESH
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Lemon,Nutrient Management,ANDHRA PRADESH
Citrus,	Plant Protection	,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Brinjal,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Mosambi,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Marine,"Tank, Pond and Reservoir Management",ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Acid Lime,	Plant Protection	,ANDHRA PRADESH
Melon,Nutrient Management,ANDHRA PRADESH
Groundnut (pea nut/mung phalli),	Plant Protection	,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Sapota,Nutrient Management,ANDHRA PRADESH
Cashew,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Maize (Makka),Weed Management,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Chillies,Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Green Gram (Moong Bean/ Moong),Nutrient Management,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Chillies,Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Mango,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Maize (Makka),Weed Management,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),Nutrient Management,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Maize (Makka),Nutrient Management,ANDHRA PRADESH
Maize (Makka),Weed Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Banana,Nutrient Management,ANDHRA PRADESH
Cashew,	Plant Protection	,ANDHRA PRADESH
Brinjal,Cultural Practices,ANDHRA PRADESH
Oil palm,Fertilizer Use and Availability,ANDHRA PRADESH
Oil palm,Seeds and Planting Material,ANDHRA PRADESH
Maize (Makka),Nutrient Management,ANDHRA PRADESH
Coconut,	Plant Protection	,ANDHRA PRADESH
Maize (Makka),Weed Management,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),Fertilizer Use and Availability,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Bhindi(Okra/Ladysfinger),Seeds and Planting Material,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Cashew,	Plant Protection	,ANDHRA PRADESH
Others,Agriculture Mechanization,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Maize (Makka),Weed Management,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),Seeds,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),Cultural Practices,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Citrus,	Plant Protection	,ANDHRA PRADESH
Bhindi(Okra/Ladysfinger),Nutrient Management,ANDHRA PRADESH
Tobacco,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Citrus,Nutrient Management,ANDHRA PRADESH
Brinjal,	Plant Protection	,ANDHRA PRADESH
Chestnut,	Plant Protection	,ANDHRA PRADESH
Citrus,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Cocoa,	Plant Protection	,ANDHRA PRADESH
Tomato,Cultural Practices,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Cashew,Fertilizer Use and Availability,ANDHRA PRADESH
Paddy (Dhan),Fertilizer Use and Availability,ANDHRA PRADESH
Citrus,Fertilizer Use and Availability,ANDHRA PRADESH
Mango,Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Others,Soil Health Card,ANDHRA PRADESH
Bhindi(Okra/Ladysfinger),	Plant Protection	,ANDHRA PRADESH
Maize (Makka),Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Green Gram (Moong Bean/ Moong),	Plant Protection	,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Bhindi(Okra/Ladysfinger),	Plant Protection	,ANDHRA PRADESH
Bhindi(Okra/Ladysfinger),	Plant Protection	,ANDHRA PRADESH
Citrus,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Maize (Makka),Nutrient Management,ANDHRA PRADESH
Paddy (Dhan),Fertilizer Use and Availability,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Bhindi(Okra/Ladysfinger),Nutrient Management,ANDHRA PRADESH
Sesame (Gingelly/Til)/Sesamum,Seeds,ANDHRA PRADESH
Citrus,Nutrient Management,ANDHRA PRADESH
Maize (Makka),Weed Management,ANDHRA PRADESH
Cocoa,	Plant Protection	,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Cashew,	Plant Protection	,ANDHRA PRADESH
Cocoa,	Plant Protection	,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),	Plant Protection	,ANDHRA PRADESH
Maize (Makka),Fertilizer Use and Availability,ANDHRA PRADESH
Pomegranate,	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),Fertilizer Use and Availability,ANDHRA PRADESH
Pomegranate,	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),Nutrient Management,ANDHRA PRADESH
Maize (Makka),Cultural Practices,ANDHRA PRADESH
Banana,Weather,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Drum Stick,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Black Gram (urd bean),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Nutrient Management,ANDHRA PRADESH
Maize (Makka),Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Ridge Gourd,Agriculture Mechanization,ANDHRA PRADESH
Black Gram (urd bean),Weed Management,ANDHRA PRADESH
Maize (Makka),Weed Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Ber,Seeds and Planting Material,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Oil palm,Fertilizer Use and Availability,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Banana,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Lemon,Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),Seeds,ANDHRA PRADESH
Tobacco,Nutrient Management,ANDHRA PRADESH
Banana,	Plant Protection	,ANDHRA PRADESH
Maize (Makka),Nutrient Management,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Bhindi(Okra/Ladysfinger),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Green Gram (Moong Bean/ Moong),Nutrient Management,ANDHRA PRADESH
Paddy (Dhan),Fertilizer Use and Availability,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Bhindi(Okra/Ladysfinger),	Plant Protection	,ANDHRA PRADESH
Black Gram (urd bean),Varieties,ANDHRA PRADESH
"Bovine(Cow,Buffalo)",Animal Nutrition,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Watermelon,	Plant Protection	,ANDHRA PRADESH
Chillies,Nutrient Management,ANDHRA PRADESH
Paddy (Dhan),Nutrient Management,ANDHRA PRADESH
Others,Crop Insurance,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Maize (Makka),Weed Management,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Mustard,Varieties,ANDHRA PRADESH
Paddy (Dhan),Fertilizer Use and Availability,ANDHRA PRADESH
Coconut,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Cucumber,Cultural Practices,ANDHRA PRADESH
Mango,	Plant Protection	,ANDHRA PRADESH
"Bovine(Cow,Buffalo)",Credit,ANDHRA PRADESH
Paddy (Dhan),Government Schemes,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Crop Insurance,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),Seeds,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Tomato,	Plant Protection	,ANDHRA PRADESH
Others,Fishery Nutrition,ANDHRA PRADESH
Others,"Power, Roads etc.",ANDHRA PRADESH
Others,Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Turkey,Disease Management,ANDHRA PRADESH
Brinjal,	Plant Protection	,ANDHRA PRADESH
Sapota,	Plant Protection	,ANDHRA PRADESH
Sapota,	Plant Protection	,ANDHRA PRADESH
Green Gram (Moong Bean/ Moong),	Plant Protection	,ANDHRA PRADESH
Others,Market Information,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Maize (Makka),Nutrient Management,ANDHRA PRADESH
Green Gram (Moong Bean/ Moong),	Plant Protection	,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Cucumber,Cultural Practices,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Bhindi(Okra/Ladysfinger),	Plant Protection	,ANDHRA PRADESH
Ash Gourd (Petha),Nutrient Management,ANDHRA PRADESH
Paddy (Dhan),Bio-Pesticides and Bio-Fertilizers,ANDHRA PRADESH
Bhindi(Okra/Ladysfinger),Cultural Practices,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Banana,	Plant Protection	,ANDHRA PRADESH
Others,Crop Insurance,ANDHRA PRADESH
Banana,Nutrient Management,ANDHRA PRADESH
Ridge Gourd,Cultural Practices,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Chillies,Nutrient Management,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Banana,Nutrient Management,ANDHRA PRADESH
Banana,Nutrient Management,ANDHRA PRADESH
Banana,	Plant Protection	,ANDHRA PRADESH
Others,Agriculture Mechanization,ANDHRA PRADESH
Black Gram (urd bean),	Plant Protection	,ANDHRA PRADESH
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),	Plant Protection	,ANDHRA PRADESH
Bhindi(Okra/Ladysfinger),Seeds and Planting Material,ANDHRA PRADESH
Citrus,Nutrient Management,ANDHRA PRADESH
Others,Government Schemes,ANDHRA PRADESH
Others,Market Information,ANDHRA PRADESH
Bitter Gourd,	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),Seeds,ANDHRA PRADESH
Black Gram (urd bean),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Maize (Makka),Fertilizer Use and Availability,ANDHRA PRADESH
Bhindi(Okra/Ladysfinger),	Plant Protection	,ANDHRA PRADESH
Pumpkin,Cultural Practices,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Black Gram (urd bean),	Plant Protection	,ANDHRA PRADESH
Groundnut (pea nut/mung phalli),Weed Management,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Banana,Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),	Plant Protection	,ANDHRA PRADESH
Others,Crop Insurance,ANDHRA PRADESH
Paddy (Dhan),	Water Management	,ANDHRA PRADESH
Black Gram (urd bean),Weed Management,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Oil palm,	Plant Protection	,ANDHRA PRADESH
Ridge Gourd,Cultural Practices,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Citrus,Nutrient Management,ANDHRA PRADESH
Coconut,Seeds and Planting Material,ANDHRA PRADESH
Ridge Gourd,Cultural Practices,ANDHRA PRADESH
Groundnut (pea nut/mung phalli),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Chillies,Cultural Practices,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Watermelon,	Plant Protection	,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Organic Farming,ANDHRA PRADESH
Others,Organic Farming,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Sapota,Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Citrus,Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Banana,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Capsicum,Government Schemes,ANDHRA PRADESH
Bhindi(Okra/Ladysfinger),	Plant Protection	,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Citrus,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Bhindi(Okra/Ladysfinger),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Bhindi(Okra/Ladysfinger),Cultural Practices,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Pumpkin,Cultural Practices,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Bhindi(Okra/Ladysfinger),Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,	Plant Protection	,ANDHRA PRADESH
Others,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Marigold,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Marigold,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Oil palm,	Plant Protection	,ANDHRA PRADESH
Citrus,Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Green Gram (Moong Bean/ Moong),	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Government Schemes,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Mango,Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Market Information,ANDHRA PRADESH
Citrus,Nutrient Management,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Maize (Makka),	Plant Protection	,ANDHRA PRADESH
Guava,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Chillies,	Plant Protection	,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Crop Insurance,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
Others,Weather,ANDHRA PRADESH
