index,Sector,Category,Crop,QueryType,StateName,DistrictName
4877,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4878,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4879,HORTICULTURE,Fruits,Mango,Nutrient Management,ANDHRA PRADESH,CHITTOOR
4880,AGRICULTURE,Cereals,Paddy (Dhan),Agriculture Mechanization,ANDHRA PRADESH,CHITTOOR
4881,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4882,HORTICULTURE,Vegetables,Tomato,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4883,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,ANDHRA PRADESH,CHITTOOR
4884,AGRICULTURE,Cereals,Paddy (Dhan),Agriculture Mechanization,ANDHRA PRADESH,CHITTOOR
4885,AGRICULTURE,Cereals,Paddy (Dhan),Agriculture Mechanization,ANDHRA PRADESH,CHITTOOR
4886,AGRICULTURE,Cereals,Paddy (Dhan),Agriculture Mechanization,ANDHRA PRADESH,CHITTOOR
4887,AGRICULTURE,Cereals,Paddy (Dhan),Agriculture Mechanization,ANDHRA PRADESH,CHITTOOR
4888,AGRICULTURE,Cereals,Paddy (Dhan),Agriculture Mechanization,ANDHRA PRADESH,CHITTOOR
4889,AGRICULTURE,Cereals,Paddy (Dhan),Agriculture Mechanization,ANDHRA PRADESH,CHITTOOR
4890,AGRICULTURE,Cereals,Paddy (Dhan),Agriculture Mechanization,ANDHRA PRADESH,CHITTOOR
4891,AGRICULTURE,Cereals,Paddy (Dhan),Agriculture Mechanization,ANDHRA PRADESH,CHITTOOR
4892,AGRICULTURE,Cereals,Paddy (Dhan),Agriculture Mechanization,ANDHRA PRADESH,CHITTOOR
4893,AGRICULTURE,Cereals,Paddy (Dhan),Agriculture Mechanization,ANDHRA PRADESH,CHITTOOR
4894,AGRICULTURE,Cereals,Paddy (Dhan),Agriculture Mechanization,ANDHRA PRADESH,CHITTOOR
4895,AGRICULTURE,Cereals,Paddy (Dhan),Agriculture Mechanization,ANDHRA PRADESH,CHITTOOR
4896,AGRICULTURE,Cereals,Paddy (Dhan),Agriculture Mechanization,ANDHRA PRADESH,CHITTOOR
4897,AGRICULTURE,Cereals,Paddy (Dhan),Agriculture Mechanization,ANDHRA PRADESH,CHITTOOR
4898,AGRICULTURE,Cereals,Paddy (Dhan),Agriculture Mechanization,ANDHRA PRADESH,CHITTOOR
4902,HORTICULTURE,Vegetables,Watermelon,Nutrient Management,ANDHRA PRADESH,CHITTOOR
4903,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4904,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4905,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4906,HORTICULTURE,Fruits,Mango,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4908,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4909,AGRICULTURE,Millets,Maize (Makka),Nutrient Management,ANDHRA PRADESH,CHITTOOR
4910,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4911,AGRICULTURE,Others,Others,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4913,AGRICULTURE,Pulses,Black Gram (urd bean),Market Information,ANDHRA PRADESH,CHITTOOR
4914,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4915,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4916,HORTICULTURE,Fruits,Mango,Nutrient Management,ANDHRA PRADESH,CHITTOOR
4917,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4918,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4919,HORTICULTURE,Condiments and Spices,Fennel,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4920,HORTICULTURE,Condiments and Spices,Fennel,Nutrient Management,ANDHRA PRADESH,CHITTOOR
4921,HORTICULTURE,Fruits,Mango,"Water Management, Micro Irrigation",ANDHRA PRADESH,CHITTOOR
4922,HORTICULTURE,Vegetables,Watermelon,Nutrient Management,ANDHRA PRADESH,CHITTOOR
4923,AGRICULTURE,Pulses,Horse Gram (kulthi/kultha),Sowing Time and Weather,ANDHRA PRADESH,CHITTOOR
4924,AGRICULTURE,Others,Others,Government Schemes,ANDHRA PRADESH,CHITTOOR
4925,AGRICULTURE,Others,Others,Market Information,ANDHRA PRADESH,CHITTOOR
4926,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4927,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4928,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4929,AGRICULTURE,Others,Others,Seeds,ANDHRA PRADESH,CHITTOOR
4930,HORTICULTURE,Fruits,Mango,Nutrient Management,ANDHRA PRADESH,CHITTOOR
4931,HORTICULTURE,Fruits,Mango,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4932,HORTICULTURE,Fruits,Mango,Nutrient Management,ANDHRA PRADESH,CHITTOOR
4933,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4934,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4935,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4936,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4937,HORTICULTURE,Vegetables,Chillies,Nutrient Management,ANDHRA PRADESH,CHITTOOR
4938,HORTICULTURE,Vegetables,Chillies,Nutrient Management,ANDHRA PRADESH,CHITTOOR
4939,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4940,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4941,HORTICULTURE,Vegetables,Brinjal,Nutrient Management,ANDHRA PRADESH,CHITTOOR
4942,AGRICULTURE,Pulses,Black Gram (urd bean),Market Information,ANDHRA PRADESH,CHITTOOR
4943,ANIMAL HUSBANDRY,Avian,Duck,Livestock Products Processing and Packaging,ANDHRA PRADESH,CHITTOOR
4945,HORTICULTURE,Vegetables,Bitter Gourd,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4946,HORTICULTURE,Vegetables,Bitter Gourd,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4947,ANIMAL HUSBANDRY,Avian,Turkey,Animal Nutrition,ANDHRA PRADESH,CHITTOOR
4949,AGRICULTURE,Cereals,Paddy (Dhan),Crop Insurance,ANDHRA PRADESH,CHITTOOR
4950,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Credit,ANDHRA PRADESH,CHITTOOR
4951,HORTICULTURE,Vegetables,Bitter Gourd,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4952,HORTICULTURE,Fruits,Mango,Nutrient Management,ANDHRA PRADESH,CHITTOOR
4953,HORTICULTURE,Vegetables,Brinjal,Nutrient Management,ANDHRA PRADESH,CHITTOOR
4954,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4955,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4956,HORTICULTURE,Condiments and Spices,Cumin,Nutrient Management,ANDHRA PRADESH,CHITTOOR
4957,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,ANDHRA PRADESH,CHITTOOR
4958,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4959,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4960,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4961,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4962,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4963,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4964,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,ANDHRA PRADESH,CHITTOOR
4965,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4966,HORTICULTURE,Fruits,Mango,Nutrient Management,ANDHRA PRADESH,CHITTOOR
4967,HORTICULTURE,Fruits,Mango,Nutrient Management,ANDHRA PRADESH,CHITTOOR
4968,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4969,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4970,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4971,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4972,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4973,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4974,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4975,HORTICULTURE,Vegetables,Tomato,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4976,HORTICULTURE,Vegetables,Tomato,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4977,HORTICULTURE,Fruits,Mango,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4978,HORTICULTURE,Fruits,Mango,Nutrient Management,ANDHRA PRADESH,CHITTOOR
4979,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4980,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4981,AGRICULTURE,Pulses,Horse Gram (kulthi/kultha),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4982,HORTICULTURE,Vegetables,Onion,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4983,AGRICULTURE,Pulses,Black Gram (urd bean),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4984,AGRICULTURE,Millets,FingerMillet  (Ragi/Mandika),Weed Management,ANDHRA PRADESH,CHITTOOR
4985,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4986,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4987,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4988,AGRICULTURE,Cereals,Paddy (Dhan),Government Schemes,ANDHRA PRADESH,CHITTOOR
4989,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4990,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4991,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4992,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4993,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,ANDHRA PRADESH,CHITTOOR
4994,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4995,AGRICULTURE,Pulses,Black Gram (urd bean),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
4996,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4997,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4998,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
4999,HORTICULTURE,Drug and Narcotics,Tobacco,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5001,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5002,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5003,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5004,HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5005,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,ANDHRA PRADESH,CHITTOOR
5006,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5007,HORTICULTURE,Vegetables,Bitter Gourd,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5008,AGRICULTURE,Fiber Crops,Cotton (Kapas),Cultural Practices,ANDHRA PRADESH,CHITTOOR
5009,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5010,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5011,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Nutrient Management,ANDHRA PRADESH,CHITTOOR
5012,HORTICULTURE,Vegetables,Bitter Gourd,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5013,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5014,AGRICULTURE,Millets,Maize (Makka),Seeds,ANDHRA PRADESH,CHITTOOR
5015,HORTICULTURE,Vegetables,Bitter Gourd,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5016,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5017,FISHERIES,Marine,Other,Magur Breeding and Culture,ANDHRA PRADESH,CHITTOOR
5018,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5019,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5020,HORTICULTURE,Vegetables,Brinjal,Fertilizer Use and Availability,ANDHRA PRADESH,CHITTOOR
5021,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5022,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5023,AGRICULTURE,Others,Others,Government Schemes,ANDHRA PRADESH,CHITTOOR
5024,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5025,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5026,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5027,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5028,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5029,AGRICULTURE,Cereals,Paddy (Dhan),Soil Testing,ANDHRA PRADESH,CHITTOOR
5030,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5031,HORTICULTURE,Medicinal and Aromatic Plants,Aloe Vera,Medicinal and Aromatic Plants,ANDHRA PRADESH,CHITTOOR
5032,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5033,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5034,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5035,HORTICULTURE,Vegetables,Onion,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5036,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,ANDHRA PRADESH,CHITTOOR
5037,HORTICULTURE,Fruits,Mango,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5038,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5039,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5040,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Nutrient Management,ANDHRA PRADESH,CHITTOOR
5041,FISHERIES,Inland,Fresh Water,"Tank, Pond and Reservoir Management",ANDHRA PRADESH,CHITTOOR
5042,FISHERIES,Inland,Fresh Water,"Tank, Pond and Reservoir Management",ANDHRA PRADESH,CHITTOOR
5043,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5044,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5045,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5046,HORTICULTURE,Vegetables,Bitter Gourd,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5047,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5048,HORTICULTURE,Vegetables,Bitter Gourd,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5049,AGRICULTURE,Cereals,Paddy (Dhan),Storage,ANDHRA PRADESH,CHITTOOR
5050,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5051,AGRICULTURE,Others,Others,Market Information,ANDHRA PRADESH,CHITTOOR
5052,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,ANDHRA PRADESH,CHITTOOR
5053,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5054,HORTICULTURE,Vegetables,Tomato,Weather,ANDHRA PRADESH,CHITTOOR
5055,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5056,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5057,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5058,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5059,HORTICULTURE,Vegetables,Bottle Gourd ,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5060,HORTICULTURE,Vegetables,Bottle Gourd ,Nutrient Management,ANDHRA PRADESH,CHITTOOR
5061,HORTICULTURE,Fruits,Mango,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5062,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,ANDHRA PRADESH,CHITTOOR
5063,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5064,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5065,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5066,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5067,HORTICULTURE,Fruits,Mango,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5068,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5069,HORTICULTURE,Fruits,Mango,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5070,HORTICULTURE,Fruits,Mango,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5071,HORTICULTURE,Fruits,Mango,"Water Management, Micro Irrigation",ANDHRA PRADESH,CHITTOOR
5072,ANIMAL HUSBANDRY,Animal,Sheep,Disease Management,ANDHRA PRADESH,CHITTOOR
5073,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5074,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,ANDHRA PRADESH,CHITTOOR
5075,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5076,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5077,HORTICULTURE,Fruits,Mango,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5078,AGRICULTURE,Cereals,Paddy (Dhan),Storage,ANDHRA PRADESH,CHITTOOR
5079,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5080,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,ANDHRA PRADESH,CHITTOOR
5081,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5082,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5083,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5084,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5085,AGRICULTURE,Millets,Maize (Makka),	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5086,HORTICULTURE,Fruits,Grape,Vegetative Propagation and Tissue Culture,ANDHRA PRADESH,CHITTOOR
5087,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5088,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5089,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,CHITTOOR
5090,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Nutrient Management,ANDHRA PRADESH,CHITTOOR
5091,HORTICULTURE,Fruits,Mango,Nutrient Management,ANDHRA PRADESH,CHITTOOR
5092,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5093,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5094,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,CHITTOOR
5095,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,NELLORE
5096,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,NELLORE
5097,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,ANDHRA PRADESH,NELLORE
5098,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,NELLORE
5099,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,NELLORE
5100,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,NELLORE
5101,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,NELLORE
5102,AGRICULTURE,Cereals,Paddy (Dhan),Soil Health Card,ANDHRA PRADESH,NELLORE
5103,HORTICULTURE,Fruits,Citrus,Nutrient Management,ANDHRA PRADESH,NELLORE
5104,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,NELLORE
5105,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,NELLORE
5106,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,NELLORE
5107,AGRICULTURE,Millets,Common Millet (Panivaragu/Chena/Proso Millet/Hogm,Seeds,ANDHRA PRADESH,NELLORE
5108,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,NELLORE
5109,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),Nutrient Management,ANDHRA PRADESH,NELLORE
5110,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),	Plant Protection	,ANDHRA PRADESH,NELLORE
5111,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,NELLORE
5112,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,NELLORE
5113,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,NELLORE
5114,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,NELLORE
5115,AGRICULTURE,Pulses,Black Gram (urd bean),Nutrient Management,ANDHRA PRADESH,NELLORE
5116,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,NELLORE
5117,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),Seeds and Planting Material,ANDHRA PRADESH,NELLORE
5118,HORTICULTURE,Fruits,Citrus,	Plant Protection	,ANDHRA PRADESH,NELLORE
5119,AGRICULTURE,Millets,Maize (Makka),	Plant Protection	,ANDHRA PRADESH,NELLORE
5120,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,NELLORE
5121,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,NELLORE
5122,HORTICULTURE,Fruits,Citrus,Nutrient Management,ANDHRA PRADESH,NELLORE
5123,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,NELLORE
5124,HORTICULTURE,Fruits,Citrus,	Plant Protection	,ANDHRA PRADESH,NELLORE
5125,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,NELLORE
5126,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,NELLORE
5127,AGRICULTURE,Pulses,Green Gram (Moong Bean/ Moong),	Plant Protection	,ANDHRA PRADESH,NELLORE
5128,AGRICULTURE,Millets,Maize (Makka),	Plant Protection	,ANDHRA PRADESH,NELLORE
5129,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,NELLORE
5130,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,NELLORE
5131,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,ANDHRA PRADESH,NELLORE
5132,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),	Plant Protection	,ANDHRA PRADESH,NELLORE
5133,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,NELLORE
5134,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,NELLORE
5135,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,NELLORE
5136,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,NELLORE
5137,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,NELLORE
5138,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,NELLORE
5139,HORTICULTURE,Vegetables,Chillies,Nutrient Management,ANDHRA PRADESH,NELLORE
5140,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,NELLORE
5141,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,ANDHRA PRADESH,NELLORE
5142,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,ANDHRA PRADESH,NELLORE
5143,HORTICULTURE,Flowers,Jasmine,Nutrient Management,ANDHRA PRADESH,NELLORE
5144,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,NELLORE
5145,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ANDHRA PRADESH,NELLORE
5146,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,NELLORE
5147,AGRICULTURE,Pulses,Green Gram (Moong Bean/ Moong),	Plant Protection	,ANDHRA PRADESH,NELLORE
5149,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,NELLORE
5150,HORTICULTURE,Vegetables,Tomato,Weather,ANDHRA PRADESH,NELLORE
5151,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,NELLORE
5152,AGRICULTURE,Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),	Plant Protection	,ANDHRA PRADESH,NELLORE
5153,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,NELLORE
5154,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,NELLORE
5155,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,NELLORE
5156,AGRICULTURE,Others,Others,Weather,ANDHRA PRADESH,NELLORE
5157,AGRICULTURE,Millets,Sorghum (Jowar/Great Millet),Nutrient Management,ANDHRA PRADESH,NELLORE
5158,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ANDHRA PRADESH,NELLORE
